02/02/2015	06/06/1985	KadeLyons13@gmail.com	FALSE	107141217	Kade Lyons	                             1
21/02/2015	07/09/1985	RolandSuttonnn@walla.com	TRUE	984457480	Roland Sutton	                             4                        
24/06/2015	18/12/1987	EanMcmillan0@walla.com	TRUE	36024475	Ean Mcmillan	                             4 
05/10/2015	01/11/1988	CadenceShepp@gmail.com	FALSE	415240269	Cadence Sheppard	               5
15/11/2015	10/10/1989	GraysonBrandt@msn.com	FALSE	49046158	Grayson Brandt	                             2  
20/11/2015	11/12/1989	JaylenKelley3@outlook.com	FALSE	530909129	Jaylen Kelley	                             3  
09/02/2016	11/02/1990	SladeDelacruz@msn.com	TRUE	51283213	Slade Delacruz	                             4
26/04/2016	13/02/1990	RonanYates@outlook.com	FALSE	188994342	Ronan Yates	                             5  
24/05/2016	16/05/1990	AntonEstrada0@gmail.com	FALSE	632507016	Anton Estrada	                             2 
28/05/2016	13/01/1991	CarissaSolis@walla.com	TRUE	534112250	Carissa Solis	                             4  
12/07/2016	02/02/1993	AleenaBoyer@yahoo.ca	TRUE	977194634	Aleena Boyer	                             4 
02/09/2016	29/09/1993	CourtneyMccull@gmail.com	TRUE	987822658	Courtney Mccullough	              4
11/10/2016	21/08/1995	SimonVillanuev@gmail.com	TRUE	538201592	Simon Villanueva	                             4
09/11/2016	16/03/1996	ArturoBlevins@msn.com	FALSE	574089951	Arturo Blevins	                             3
10/12/2016	16/04/1996	LennonClay22@gmail.com	FALSE	670873894	Lennon Clay	                             5 
24/12/2016	21/10/1996	ColtonWolfe3@outlook.com	FALSE	334286582	Colton Wolfe	                             1
14/02/2017	15/12/1996	Dariuserring@walla.com	FALSE	667518086	Darius Herring	                             1 
07/08/2017	04/08/1997	CharlieMoore@yahoo.ca	TRUE	142226994	Charlie Moore	                             4 
19/08/2017	06/10/1998	LandinMoreno8@gmail.com	FALSE	194358512	Landin Moreno	                             3 
13/09/2017	20/12/1998	KristinaBowman@walla.com	FALSE	295190210	Kristina Bowman	                             2 
01/12/2017	03/01/2000	LanceLowe66@yahoo.ca	FALSE	295485890	Lance Lowe	                             1
26/12/2017	16/01/2000	Trenton0Hendr@gmail.com	FALSE	558332286	Trenton Hendrix	                             5
22/03/2018	27/07/2000	TyrellNorris44@outlook.com	TRUE	369391341	Tyrell Norris	                             4 
